	Dx	Dy	Dz
	  -0.9063223773	  -1.1655541257	  -0.3281328219
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1785681444	  -0.1720310452	   0.1846393413
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.0616489151	  -1.3045916111	  -0.1675060329
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1735616115	  -0.1670245122	   0.1796328084
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.1861628970	  -1.4310371823	  -0.0234536832
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1685550785	  -0.1620179792	   0.1746262754
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.2788553092	  -1.5432460126	   0.0974303279
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1635485456	  -0.1570114462	   0.1696197425
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.3468430310	  -1.6430142858	   0.1959439496
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1585420126	  -0.1520049133	   0.1646132096
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.3968460199	  -1.7352910083	   0.2721157622
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1535354797	  -0.1469983803	   0.1596066766
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4345788904	  -1.8238752829	   0.3248568840
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1485289468	  -0.1419918473	   0.1546001437
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4663476142	  -1.9083853114	   0.3520939116
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1435224138	  -0.1369853144	   0.1495936108
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4938088692	  -1.9904522315	   0.3512487024
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1385158808	  -0.1319787814	   0.1445870778
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5214503640	  -2.0691610398	   0.3257680993
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1335093479	  -0.1269722485	   0.1395805449
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5514649408	  -2.1402502133	   0.2785918566
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1285028149	  -0.1219657155	   0.1345740119
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5841855101	  -2.2016089752	   0.2153981248
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1234962820	  -0.1169591825	   0.1295674790
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.6175550045	  -2.2476451239	   0.1453584016
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1184897490	  -0.1119526496	   0.1245609461
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.6519915533	  -2.2734267254	   0.0780301410
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1134832161	  -0.1069461166	   0.1195544131
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.6840045087	  -2.2750889375	   0.0216997633
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1084766831	  -0.1019395836	   0.1145478802
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.7114918315	  -2.2512307909	  -0.0162313433
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.1034701502	  -0.0969330507	   0.1095413473
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.7351277812	  -2.2017918229	  -0.0326355424
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0984636173	  -0.0919265177	   0.1045348144
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.7553669916	  -2.1313590441	  -0.0282837141
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0934570843	  -0.0869199847	   0.0995282814
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.7742587748	  -2.0457219532	  -0.0073996591
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0884505514	  -0.0819134517	   0.0945217485
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.7898826784	  -1.9512936522	   0.0252546412
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0834440184	  -0.0769069188	   0.0895152156
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8062583773	  -1.8550605778	   0.0614087772
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0784374855	  -0.0719003858	   0.0845086827
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8223618691	  -1.7621814999	   0.0955191751
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0734309525	  -0.0668938528	   0.0795021497
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8387536265	  -1.6765758071	   0.1237492601
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0684244196	  -0.0618873198	   0.0744956168
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8532167861	  -1.6006020154	   0.1452162577
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0634178866	  -0.0568807868	   0.0694890839
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8700876052	  -1.5339534589	   0.1596803358
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0584113536	  -0.0518742538	   0.0644825510
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8882209608	  -1.4786816330	   0.1666284300
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0534048206	  -0.0468677208	   0.0594760181
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9088713035	  -1.4340127560	   0.1688863640
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0483982877	  -0.0418611878	   0.0544694851
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9302352206	  -1.4012499887	   0.1666502406
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0433917547	  -0.0368546548	   0.0494629522
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9537021124	  -1.3813824803	   0.1623536480
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0383852217	  -0.0318481218	   0.0444564193
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9780325527	  -1.3743611613	   0.1544156475
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0333786887	  -0.0268415888	   0.0394498864
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0045833837	  -1.3790372178	   0.1440319259
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0283721557	  -0.0218350558	   0.0344433535
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0273939469	  -1.3975992867	   0.1302902516
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0233656228	  -0.0168285227	   0.0294368205
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0416082831	  -1.4194005814	   0.1111199625
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0183590898	  -0.0118219897	   0.0244302876
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0425254162	  -1.4486750145	   0.0812436627
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0133525568	  -0.0068154567	   0.0194237547
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0238720556	  -1.4826426738	   0.0360687724
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0083460238	  -0.0018089237	   0.0144172218
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9893155413	  -1.5231165096	  -0.0253285533
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0033394908	   0.0031976093	   0.0094106889
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9495487382	  -1.5679827847	  -0.0907238747
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0016670422	   0.0082041423	   0.0044041560
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9092699128	  -1.6154306402	  -0.1508924572
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0066735752	   0.0132106753	  -0.0006023769
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8741753584	  -1.6643058950	  -0.2023890861
Center of Mass (Angs):
	CMx	CMy	CMz
	   0.0116801081	   0.0182172083	  -0.0056089098
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8375913947	  -1.7103874256	  -0.2425080770
Center of Mass (Angs):
